Property Type,Property Use,Land Use,Beds,Baths,Rooms Count,Units Count,Stories,Building Size (sqft),Lot Size (sqft),Year Built,Years Owned,Pool,Pool Area,Garage,Basement,Deck,Deck Area,Patio,Patio Area,Air Conditioning,Roof Construction,Roof Material,Estimated Value,Assessed Value,Assessed Land Value,Assessed Improvement Value,Price Per Sqft,Last Sale Date,Last Sale Amount,Last Sale Arms Length,Prior Sale Amount,Recording Date,Document Type,Last Update Date,Cash Buyer,Investor Buyer,Flood Zone
SFR,Single Family Residence,Residential,2.0,1.0,6,0,1.0,1135.0,7630,1938.0,5.0,No,0,No,No,No,0,No,0,No,,,692000,192167,128061,64106,0,2019-12-27,0,No,,2019-12-27,Intrafamily Transfer,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,4.0,2.0,7,0,1.5,2000.0,6000,1956.0,4.0,No,0,No,No,No,0,No,0,No,,,984986,984986,295607,689379,0,2021-05-11,0,No,883000.0,2021-05-11,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,4,0,1.0,1147.0,5625,1956.0,3.0,No,0,No,No,No,0,No,0,No,,,497000,184391,88673,95718,0,2022-02-14,0,No,0.0,2022-02-14,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1014.0,3500,1925.0,14.0,No,0,No,No,No,0,No,0,No,,,434000,112355,33706,78649,0,2010-10-04,0,No,0.0,2010-10-04,Intrafamily Transfer,2025-07-23 00:00:00 UTC,Yes,Yes,Yes
SFR,Single Family Residence,Residential,4.0,2.0,8,0,1.0,2515.0,4000,1923.0,6.0,No,0,No,No,No,0,No,0,No,,,1733000,1024844,307453,717391,0,2018-12-18,0,No,750000.0,2018-12-18,Grant Deed,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,1.0,1192.0,3950,1921.0,12.0,No,0,No,No,No,0,No,0,No,,,581000,163760,32604,131156,0,2012-11-19,0,No,0.0,2012-11-19,Intrafamily Transfer,2025-07-16 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,5.0,3.0,7,0,2.0,1933.0,3069,1920.0,,No,0,No,No,No,0,No,0,No,,,525000,163163,47430,115733,0,,0,,,,,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.0,1070.0,4360,1925.0,5.0,No,0,No,No,No,0,No,0,No,,,804141,804141,241242,562899,701,2019-11-20,750000,Yes,440000.0,2019-11-20,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,4.0,3.0,9,0,2.0,5126.0,23400,2001.0,3.0,No,0,No,No,No,0,No,0,No,,,3937395,3937395,1335112,2602283,0,2022-07-18,0,No,0.0,2009-04-29,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1050.0,3850,1900.0,,No,0,No,No,No,0,No,0,No,,,500000,143551,43159,100392,0,1988-05-10,0,Yes,,1988-05-10,Grant Deed,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,1.5,1345.0,4060,1922.0,7.0,No,0,No,No,No,0,No,0,No,,,864511,864511,259353,605158,576,2017-10-16,775000,Yes,555000.0,2017-10-16,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,4.0,3.0,7,0,2.0,2097.0,5459,1925.0,18.0,No,0,No,No,No,0,No,0,No,,,1541000,457886,272791,185095,0,2006-09-11,0,No,,2006-09-11,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,2.0,1656.0,5000,1923.0,2.0,No,0,No,No,No,0,No,0,No,,,1566000,1021512,306453,715059,0,2022-09-21,0,No,850000.0,2022-09-21,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,4,0,1.0,873.0,4028,1947.0,,No,0,No,No,No,0,No,0,No,,,402000,115607,40003,75604,0,,0,,,,,2025-07-23 00:00:00 UTC,No,Yes,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,1.5,2008.0,6020,1910.0,6.0,No,0,No,No,No,0,No,0,No,,,824596,824596,247379,577217,375,2018-11-09,754000,Yes,0.0,2018-11-09,Grant Deed,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,3.0,3.0,7,0,1.0,2122.0,9425,1957.0,10.0,No,0,No,No,No,0,No,0,No,,,1311000,121790,23301,98489,0,2015-07-23,0,No,1085000.0,2015-07-23,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,937.0,5000,1914.0,2.0,No,0,No,No,No,0,No,0,No,,,550800,550800,165240,385560,0,2022-08-01,0,No,540000.0,2022-08-01,Quit Claim Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,964.0,2600,1922.0,11.0,No,0,No,No,No,0,No,0,No,,,651000,480711,144213,336498,0,2014-06-18,0,No,0.0,2014-06-18,Intrafamily Transfer,2025-07-16 00:00:00 UTC,No,Yes,Yes
SFR,Single Family Residence,Residential,3.0,2.0,7,0,1.0,1496.0,5032,1916.0,16.0,No,0,No,No,No,0,No,0,No,,,968000,651691,195507,456184,0,2009-02-27,0,No,459000.0,2009-02-27,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,856.0,4200,1913.0,12.0,No,0,No,No,No,0,No,0,No,,,453000,141304,42471,98833,0,2012-08-21,0,No,0.0,2012-08-21,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
